NtsbNo,CompletionStatus,EventType,Mkey,IsStudy,EventDate,City,State,Country,ReportNo,N#,VehicleMake,VehicleModel,HighestInjuryLevel,InjuryOngroundCount,InjuryOnboardCount,HasSafetyRec,Mode,ReportNumber,ReportType,DocketPublishDate,OriginalPublishedDate,ReportDate,MostRecentReportType,EV_ID,RepGenFlag
DCA18CA266,Completed,Accident,98079,false,2018-07-31T14:15:00Z,Philadelphia,Pennsylvania,United States,,N192AN,Boeing,757,None,0,0,false,Aviation,,DirectorBrief,,2021-06-08T04:00:00Z,,Final,,
CEN18LA303,Completed,Accident,97955,false,2018-07-31T12:30:00Z,Loma,Colorado,United States,,N125TY,Buchanan,Kitfox IV,Minor,0,1,false,Aviation,,DirectorBrief,2018-09-27T13:40:00Z,2019-11-06T05:00:00Z,,Final,,
CEN18WA304,N/A,Accident,97960,false,2018-07-30T16:00:00Z,North Bay,,Canada,,C-IGKT,Quad City,Challenger,Fatal,0,1,false,Aviation,,None,,,,,,
GAA18CA458,Completed,Accident,97958,false,2018-07-30T14:30:00Z,Clayton,Georgia,United States,,N608US,ALLEN W INKS,Virus Sw,None,0,0,false,Aviation,,DirectorBrief,2018-11-05T13:44:00Z,2019-03-18T04:00:00Z,,Final,,
GAA18CA476,Completed,Accident,98018,false,2018-07-30T13:00:00Z,Louise,Mississippi,United States,,N205SK,Air Tractor,AT502,None,0,0,false,Aviation,,DirectorBrief,2019-07-11T20:50:00Z,2019-11-06T05:00:00Z,,Final,,
GAA18CA456,Completed,Accident,97956,false,2018-07-30T12:00:00Z,Pottsville,Pennsylvania,United States,,N2022K,Luscombe,8,None,0,0,false,Aviation,,DirectorBrief,2018-10-22T15:47:00Z,2019-03-18T04:00:00Z,,Final,,
ERA18FA206,Completed,Accident,97929,false,2018-07-30T11:44:00Z,Greenville,Maine,United States,,C-GRRS,Piper,PA60,Fatal,0,3,false,Aviation,,DirectorBrief,2020-03-17T17:30:00Z,2020-04-20T04:00:00Z,,Final,,
CEN18LA302,Completed,Accident,97935,false,2018-07-30T11:00:00Z,Brainerd,Minnesota,United States,,N1856W,Beech,A36,None,0,0,false,Aviation,,DirectorBrief,2020-05-08T10:16:00Z,2020-08-03T04:00:00Z,,Final,,
ANC18WA075,N/A,Accident,98398,false,2018-07-30T02:33:00Z,Black Diamond,,Canada,,C-GVZJ,Piper,PA28,Fatal,0,1,false,Aviation,,None,,,,,,
GAA18CA462,Completed,Accident,97969,false,2018-07-29T15:45:00Z,Evanston,Wyoming,United States,,N7893P,Piper,PA24,None,0,0,false,Aviation,,DirectorBrief,2019-03-25T14:42:00Z,2019-06-10T04:00:00Z,,Final,,
CEN18LA298,Completed,Accident,97920,false,2018-07-29T15:35:00Z,North Fox Island,Michigan,United States,,N32WR,Extra,EA300,Minor,0,3,false,Aviation,,DirectorBrief,2019-08-12T19:53:00Z,2019-11-19T05:00:00Z,,Final,,
ERA18LA204,Completed,Accident,97911,false,2018-07-29T13:05:00Z,HAVERHILL,New Hampshire,United States,,N221EZ,Progressive Aerodyne,Searey,Serious,0,2,false,Aviation,,DirectorBrief,2019-11-26T12:09:00Z,2020-04-13T04:00:00Z,,Final,,
